phrase	Frequency Level	Rank	Frequency <br> (per million words)	Spoken general	Written general	Written academic	Example sentence
DUE TO	2-K	1183	10454	★★★	★★★	★★★	Many people believe it is due to global warming.
FAIL TO	2-K	1204	10263	★★★	★★★	★★★	I fail to see the humor in all this.
EACH OTHER	2-K	1209	10160	★★★	★★★	★★	The good thing is that they still have each other.
IN TERMS OF	2-K	1234	9881	★★★	★★★	★★★	"What is your limit, in terms of price?"
NO ONE	2-K	1262	9597	★★★	★★★	★★	I will speak to no one about this.
PICK UP	2-K	1299	9252	★★★	★★★	–	She dropped by to pick up her friend.
UP TO	2-K	1352	8733	★★★	★★★	★★★	Up to twenty people may be interviewed for the job.
A SINGLE	2-K	1356	8710	★★★	★★★	★★	Not a single idea emerged from the meeting.
NO LONGER	2-K	1371	8556	★★★	★★★	★★★	"Fortunately, it is no longer a concern now."
LOOK FOR	2-K	1387	8377	★★★	★★★	★★	Bargains can be found if you know what to look for.
LAST NIGHT	2-K	1427	7992	★★★	★★	–	What did he say last night?
AS A RESULT	2-K	1438	7939	★★	★★★	★★★	He was tired and as a result not very aware.
IN ADDITION	2-K	1453	7822	★★★	★★★	★★★	The house was well located in addition.
IN ADDITION TO	2-K	1453	7822	★★★	★★★	★★★	The house was well located in addition.
WORK ON	2-K	1487	7600	★★★	★★★	★★	That kid needs to work on his attitude.
THINK ABOUT	2-K	1517	7243	★★★	★★★	–	I’m thinking about changing careers.
FOR INSTANCE	2-K	1529	7138	★★	★★★	★★★	That holds true for even the governor for instance.
TOO MUCH	2-K	1530	7123	★★★	★★★	★★	I don’t worry about it too much.
YOU SEE	2-K	1532	7102	★★★	–	–	And the problem you see is with awareness-raising.
IN PARTICULAR	2-K	1533	7092	★★	★★★	★★★	There’s nothing in particular wrong with it.
A COUPLE OF	2-K	1542	7007	★★★	★★★	–	They need a couple of minutes still.
INSTEAD OF	2-K	1556	6907	★★★	★★★	★★★	He can go instead of me.
COME BACK	2-K	1573	6772	★★★	★★★	★★★	But we can come back to that later.
LOOK LIKE	2-K	1591	6595	★★★	★★★	–	It’s not what it looks like.
FIND OUT	2-K	1605	6499	★★★	★★★	★★★	How did you find out?
POINT OUT	2-K	1638	6325	★★★	★★★	★★★	She pointed out that it was getting late.
APART FROM	2-K	1647	6287	★★★	★★★	★★★	"Are there any others, apart from him?"
CALL FOR	2-K	1657	6243	★★	★★★	★★★	Hard times call for tough measures.
MANAGE TO	2-K	1661	6234	★★★	★★★	★★★	Did you manage to get in touch at all?
OR TWO	2-K	1667	6192	★★★	★★★	★★	"He had a thing or two to drink, then left."
A FURTHER	2-K	1681	6121	★	★★★	★★★	It’s a further reason to reconsider the project.
COME OUT	2-K	1696	6031	★★★	★★★	★★★	It’s supposed to come out on Friday.
BE EXPECTED TO	2-K	1713	5964	★★★	★★★	★★★	They can’t be expected to just sit there and wait.
SEEK TO	2-K	1716	5937	★★	★★★	★★★	The new board sought to find alternative solutions.
GO THROUGH	2-K	1733	5857	★★★	★★★	★★★	You can’t imagine what I’m going through.
LONG TERM	2-K	1740	5831	★★★	★★★	★★★	"It seems to work, but what of the long term effects?"
RESULT IN	2-K	1759	5763	★★	★★★	★★★	Excessive criticism resulted in feelings of animosity.
THAT IS (REPHRASING)	2-K	1764	5737	★★★	★★★	★★★	"It’s yours, as long as you pay that is."
EVEN THOUGH	2-K	1778	5664	★★★	★★★	★★★	I can’t even though it looks easy enough.
A RANGE OF	2-K	1779	5651	★★★	★★★	★★★	"Eventually, a range of events changed that."
THE LATTER	2-K	1815	5519	–	★★★	★★★	The latter may still be a challenge.
MAKE SURE	2-K	1818	5510	★★★	★★★	★★★	I had to make sure before I opened the door.
TAKE OVER	2-K	1843	5394	★★★	★★★	★★★	You can’t just let the kids take over.
CONSIST OF	2-K	1850	5362	★★	★★★	★★★	What does it consist of?
AS SOON AS	2-K	1861	5323	★★★	★★★	★★★	As soon as he can he will call you back.
AT THE TIME	2-K	1873	5282	★★★	★★★	★★★	I was busy at the time.
ON THE OTHER HAND	2-K	1877	5267	★★★	★★★	★★★	"On the other hand, the business did make a profit."
ON ONE'S OWN	2-K	1886	5240	★★★	★★★	★★	You did this on your own?
ALL RIGHT	2-K	1894	5230	★★★	★★★	–	If it’s all right I think I’ll head off to bed.
SUBJECT TO	2-K	1900	5218	–	★★	★★★	All baggage is subject to inspection.
AFTER ALL	2-K	1904	5197	★★★	★★★	★★	"He is only six years old, after all."
IN FRONT OF	2-K	1908	5190	★★★	★★★	★★★	She did not want to say anything in front of the kids.
TO DO WITH	2-K	1910	5184	★★★	★★	★★★	I think it has something to do with physics.
GO OUT	2-K	1912	5173	★★★	★★★	★	Brochures went out to prospective buyers.
A GREAT DEAL	2-K	1920	5126	★★★	★★★	★★	She means a great deal to me.
A GOOD DEAL	2-K	1920	5126	★★★	★★★	★★	She means a great deal to me.
ON THE WAY	2-K	1929	5085	★★★	★★★	★★	We can stop for lunch on the way.
AS LONG AS	2-K	1931	5084	★★★	★★★	★★	It makes no difference as long as it’s done.
SO FAR	2-K	1951	5018	★★★	★★★	★★★	Any questions so far?
OUGHT TO	2-K	1958	5002	★★★	★★	–	She hasn’t but she ought to.
AT THE MOMENT	2-K	1959	5001	★★★	★★★	★★★	They have a lot going on at the moment.
AS THOUGH	2-K	1967	4988	★★	★★★	★★★	"He smiled then, as though remembering a joke."
COME TO	2-K	1970	4970	★★★	★★★	★★	We came to see it for what it was.
ALONG WITH	2-K	1974	4948	★★★	★★★	★★★	"Along with his dog, the cat slowly stopped eating."
MAY WELL	2-K	1982	4931	★★★	★★★	★★★	He hasn’t yet but may well try before long.
GET OUT	2-K	2001	4858	★★★	★★★	–	There was no way to get out of work that Friday.
FOLLOWED BY	2-K	2013	4816	★★	★★★	★★★	The workshop will be followed by time for questions.
IN THAT	2-K	2018	4805	★★★	★★★	★★★	It’s great in that there are so many restaurants.
IN THE SENSE THAT	2-K	2018	4805	★★★	★★★	★★★	It’s great in that there are so many restaurants.
THE CASE	2-K	2022	4794	★★★	★★★	★★★	It’s not the case that I don’t love him.
TAKE UP	2-K	2038	4717	★★★	★★★	★	I don’t wish to take up more time than is necessary.
ACCOUNT FOR	2-K	2060	4642	★★	★★★	★★★	They’ll need to account for their actions.
SET OUT	2-K	2064	4624	★★	★★★	★★★	She accomplished what she set out to do.
AS FAR AS	2-K	2067	4619	★★★	★★★	★★★	"What are you thinking, as far as feasibility on this?"
CONCERNED WITH	2-K	2068	4619	★★	★★★	★★★	They spoke on issues concerned with culture.
ABOUT TO	2-K	2075	4600	★★★	★★★	★★	Things were about to change.
SUPPOSED TO	2-K	2086	4586	★★★	★★★	★★★	"I didn’t go, but I was supposed to."
AND SO ON	2-K	2087	4584	★★★	★★★	★★★	"My parents arrived, then John, his wife, and so on."
COME ON	2-K	2105	4519	★★★	★★	–	"Come on, think about it!"
TAKE ON	3-K	2124	4451	★★★	★★★	★★	You’d better think twice before taking on more work.
WORK OUT	3-K	2131	4432	★★★	★★★	★★★	I’m trying to work out what it stands for.
ALL OVER	3-K	2135	4420	★★★	★★★	★★	The news was all over the web.
OTHER THAN	3-K	2149	4380	★★★	★★★	★★★	No one other than you could have come up with it.
OUT OF	3-K	2156	4361	★★	★★★	★★★	"In terms of colour, three out of five were silver."
TURN OUT	3-K	2157	4354	★★★	★★★	★★★	How did it turn out?
LOOK AFTER	3-K	2164	4332	★★★	★★★	–	She did more than just look after the finances.
AT LAST	3-K	2173	4306	★★★	★★★	★★	At last we met over coffee last week.
A VARIETY OF	3-K	2179	4283	★★★	★★★	★★★	And a variety of issues seemed to stall the process.
AT FIRST	3-K	2180	4275	★★★	★★★	★★★	"Not at first, but just the other day there was one."
OR SO	3-K	2216	4164	★★★	★★★	★★★	A day or so later he called me back on my mobile.
IN FAVOUR	3-K	2231	4073	★★★	★★★	★★★	I don’t know about you but I’m in favour. 
GIVE UP	3-K	2258	3997	★★★	★★★	★★	You can’t just give up.
GET TO	3-K	2263	3979	★★★	★★★	★★	When he got to the end he started to weep.
FIND ONESELF	3-K	2280	3917	★★★	★★★	★★	I found myself driving home.
GET UP	3-K	2298	3857	★★★	★★★	–	It was easy getting up but the commute was awful.
CARRY ON	3-K	2345	3759	★★★	★★★	★★★	He could simply not carry on.
GO BACK	3-K	2361	3722	★★★	★★★	★★★	If I could I’d go back and do it all over again.
FOCUS ON	3-K	2371	3703	★★★	★★★	★★★	But today I’d like to focus on something different.
AT ONCE	3-K	2379	3684	★★★	★★★	★★★	I did it at once.
IT TAKES	3-K	2384	3670	★★★	★★★	★★★	No matter what it takes.
GET OFF	3-K	2388	3656	★★★	★★★	–	We waited for hours in the queue to get on.
GET ON	3-K	2388	3656	★★★	★★★	–	We waited for hours in the queue to get on.
AS A WHOLE	3-K	2404	3615	★★★	★★★	★★★	As a whole it’s OK.
IN PRACTICE	3-K	2407	3609	★★	★★★	★★★	There was nothing she could do in practice.
BY THE TIME	3-K	2408	3607	★★★	★★★	★★	By the time dinner started there were none left.
LOTS OF	3-K	2409	3605	★★★	★★★	–	Lots of them do travel during the winter months.
SAID TO BE	3-K	2417	3586	–	★★★	★★	The priest was said to be missing.
IN TIME	3-K	2425	3566	★★★	★★★	★★★	You will in time.
IN TURN	3-K	2429	3558	★★	★★★	★★★	The supermarket in turn will donate seven thousand.
ONCE AGAIN	3-K	2437	3532	★★★	★★★	★★★	"Once again, this was completely unforeseen. "
ALL THE TIME	3-K	2439	3527	★★★	★★★	★★	I go there all the time.
ON THE BASIS OF	3-K	2442	3515	★★	★★★	★★★	She came on the basis that it would help her.
ON THE BASIS	3-K	2442	3515	★★	★★★	★★★	She came on the basis that it would help her.
KIND OF	3-K	2445	3510	★★★	★★	–	The windows are kind of fogged up.
GET INTO	3-K	2446	3508	★★★	★★★	★★	I really got into what he was talking about.
RELY ON	3-K	2454	3488	★★★	★★★	★★★	He has no one else to rely on.
GO FOR	3-K	2483	3421	★★★	★★	–	I could really go for a hamburger right now.
AIM TO	3-K	2484	3415	★★	★★★	★★★	They aim to complete the project by the spring.
MAKE UP	3-K	2498	3394	★★	★★★	★★★	Hispanics make up a large part of the population.
APPEAL TO	3-K	2531	3299	★★★	★★★	★★★	It appeals to younger learners.
END UP	3-K	2536	3285	★★★	★★★	★★★	We ended up going anyway.
SHAKE ONE’S HEAD	3-K	2548	3250	★★	★★★	–	He just shook his head and laughed.
NO MORE THAN	3-K	2557	3226	★★	★★★	★★★	No more than five of them had auto insurance.
GET BACK	3-K	2575	3178	★★★	★★★	★★	What time will we get back?
WHAT ABOUT	3-K	2584	3160	★★★	★★★	★★	But what about tomorrow?
IN OTHER WORDS	3-K	2586	3159	★★★	★★★	★★★	The groups are in other words conservative.
AS FOR	3-K	2588	3157	★★★	★★★	★★★	"As for the promotion, there may be other options."
NOT EVEN	3-K	2599	3128	★★★	★★★	★★★	"No one cared, not even when they saw the photos."
ENTITLED TO	3-K	2606	3113	★★	★★★	★★★	You’re entitled to your opinion.
PRIOR TO	3-K	2608	3110	★★	★★★	★★★	"Prior to the event, the organizers called the band."
CHOOSE TO	3-K	2616	3099	★★★	★★★	★★★	You may choose to believe what the papers say.
SOMETHING LIKE	3-K	2622	3092	★★★	★★	–	She makes something like five grand a month.
KNOWN TO	3-K	2624	3091	–	★★★	★★★	He’s known to be like that.
IN TOUCH	3-K	2636	3060	★★★	★★★	★★	Are you two at all in touch?
IN THE END	3-K	2637	3050	★★★	★★★	★★★	In the end it’s like what they say about horses.
IN THE WAY	3-K	2654	3013	★★★	★★★	–	I won’t stand in the way.
CARE FOR	3-K	2657	3004	★★★	★★★	★★★	He doesn’t care for it very much in his tea.
IN THE EVENT	3-K	2658	2998	–	★★★	★★★	"In the event you change your mind, let me know."
IN THE EVENT OF	3-K	2658	2998	–	★★★	★★★	"In the event you change your mind, let me know."
THEY SAY	3-K	2675	2962	★★★	★★	–	They say it tastes like chicken.
SO CALLED	3-K	2688	2944	★★★	★★★	★★★	Any so called rumors are as easily their fault.
TAKE INTO ACCOUNT	3-K	2702	2921	★★	★★★	★★★	You must also take into account the rush hour.
IN RESPECT OF	3-K	2709	2909	–	★★★	★★★	There was nothing in respect of drink.
OUT OF	3-K	2711	2907	★★★	★★★	★★★	The walls are made out of wood.
AT THE SAME TIME	3-K	2719	2892	★★★	★★★	★★★	At the same time it may be worth it.
NEXT TO	3-K	2724	2882	★★★	★★★	★★	"Next to his sister, he was the best looking of them."
TURN UP	3-K	2734	2865	★★★	★★	–	The money turned up later.
POINT OF VIEW	3-K	2735	2864	★★★	★★★	★★★	They all had a different point of view.
AT PRESENT	3-K	2744	2847	★	★★★	★★★	There’s nothing to do at present.
USED TO 	3-K	2752	2831	★★★	★★★	★★	It may take a while to get used to.
WHETHER OR NOT	3-K	2759	2824	★★	★★★	★★★	It depends on whether or not he comes on time.
IN PLACE	3-K	2767	2805	★★	★★★	★★★	There are systems in place to handle that.
NO DOUBT	3-K	2776	2791	★★	★★★	★★	She can and will no doubt improve over time.
FULL TIME	3-K	2785	2761	★★★	★★★	★★	I’m a full time fan of his music.
SORT OUT	3-K	2817	2696	★★★	★★★	★★★	They managed to sort out everything on their own.
IN A WAY	3-K	2823	2684	★★★	★★★	★★	It’s funny in a way.
OR SOMETHING	3-K	2826	2683	★★★	★★	–	The sales clerk seemed distracted or something.
ON BEHALF OF	3-K	2827	2679	–	★★	★★★	I’d like to apologize on behalf of the committee. 
OVER THERE	3-K	2828	2678	★★★	★★	–	He put it way over there.
IN SPITE OF	3-K	2829	2676	★★	★★★	★★★	In spite of all the work there were few alterations.
THAT'S IT	3-K	2831	2674	★★★	★	–	"That’s it for today, I’m afraid."
IN PART	3-K	2848	2652	–	★★★	★★★	It is in part the reason people come here.
OH NO	3-K	2857	2642	★★★	–	–	Oh no not again.
IN MIND	3-K	2859	2638	★★★	★★★	★★★	Do you have anything special in mind?
WITH REGARD TO	3-K	2863	2630	★★	★★★	★★★	There was some confusion with regard to payment.
REGARD TO	3-K	2863	2630	★★	★★★	★★★	There was some confusion with regard to payment.
ONE ANOTHER	3-K	2868	2623	★★	★★★	★★	They looked at one another for a few minutes.
AS FOLLOWS	3-K	2871	2620	–	★★★	★★★	The plan is as follows.
THE ABOVE	3-K	2879	2608	–	★★★	★★★	The above only underscores strength of the data.
TO DATE	3-K	2888	2600	★★	★★★	★★★	To date there have been over nine instances.
GO INTO	3-K	2892	2595	★★★	★★★	★★	I won’t go into what he said.
TOO MANY	3-K	2898	2587	★★★	★★★	★★★	"You don’t see too many like that one, I’ll tell you."
IN THE COURSE OF	3-K	2899	2585	★★	★★★	★★★	In the course of the discussion the manager left.
MORE OR LESS	3-K	2903	2579	★★★	★★★	★★★	It’s more or less what we imagined I suppose.
SHORT TERM	3-K	2906	2574	★★★	★★★	★★★	There are many short term gains to be had.
AIMED AT	3-K	2907	2573	★★	★★★	★★★	The study is aimed at exploring how people use it.
GO OFF	3-K	2919	2551	★★	★★★	–	She went off without even saying goodbye.
IN CASE	3-K	2926	2536	★★★	★★★	★★★	"In case you’re wondering, this isn’t my natural color."
OUT THERE	3-K	2941	2513	★★★	★★★	–	There are simply no jobs out there right now.
LED BY	3-K	2942	2511	–	★★★	★★★	He was led by his competitive drive above all.
MORE AND MORE	3-K	2967	2468	★★★	★★★	★★★	More and more it’s about the customer.
HAVE A LOOK	3-K	2970	2464	★★★	★★	–	Why don’t you have a look?
BELIEVE IN	3-K	2981	2450	★★★	★★★	–	I don’t believe in corporal punishment.
PUT IT	3-K	2983	2449	★★★	★★★	★★	"There’s no better way to put it, I think."
THESE DAYS	3-K	2992	2440	★★★	★★★	★★	It’s what these days the media call ‘viral’.
IN CHARGE	3-K	2999	2432	★★★	★★★	★★★	He was able to stay in charge while she was away.
FEEL LIKE	3-K	3000	2431	★★★	★★	–	I feel like eating out.
UP TO	3-K	3016	2409	★★★	★★★	★★★	I walked up to the window and paused.
HEARD OF	3-K	3022	2403	★★★	★★★	★★	Haven’t you ever heard of manners?
TAKE PART IN	3-K	3044	2374	★★	★★★	★★★	It’s something we all wanted to take part in.
IN SO FAR AS	3-K	3059	2344	★★	★★★	★★★	The plan was fine in so far as time and transport.
PART TIME	3-K	3061	2343	★★★	★★★	★★	She can take it on part time.
LOOK FORWARD TO	3-K	3067	2331	★★★	★★★	–	It’s something we can all look forward to.
AS SUCH	3-K	3094	2290	★★	★★★	★★★	The film was not a horror as such.
BOUND TO	3-K	3104	2278	★★★	★★★	★★★	It’s bound to be better next time.
TURN ON	3-K	3113	2266	★★★	★★★	★★	It won’t turn on.
SET TO	3-K	3121	2258	★★★	★★★	★★	He’s set to arrive today.
MOVE ON	3-K	3134	2245	★★★	★★★	★★	I’d like to move on if I may.
IN CONTRAST TO	3-K	3149	2229	★★	★★★	★★★	The inside was amazing in contrast.
IN CONTRAST	3-K	3149	2229	★★	★★★	★★★	The inside was amazing in contrast.
THIS STAGE	3-K	3152	2223	★★★	★★★	★★★	We can’t at this stage.
ALL BUT	3-K	3157	2214	★★★	★★★	★	She all but sent him chocolates and flowers.
ABOVE ALL	3-K	3160	2212	★★★	★★★	★★★	It is above all what people care most about.
RID OF	3-K	3162	2212	★★★	★★★	★★	She was happy to be rid of it.
IN ANY CASE	3-K	3197	2159	★★★	★★★	★★★	It’s not due till tomorrow in any case.
THANKS TO	3-K	3199	2159	★★★	★★★	★★★	And it’s thanks to her research that we know that.
GO AWAY	3-K	3205	2150	★★★	★★★	★★	The problem won’t just go away.
ONCE MORE	3-K	3207	2146	★★★	★★★	★★★	I call on you once more my fellow citizens.
OH WELL	3-K	3220	2129	★★★	–	–	It was due yesterday? Oh well.
FOLLOW UP	3-K	3222	2128	★★	★★★	★★★	I’d like to follow up on what that gentleman said.
WOULD SAY	3-K	3224	2128	★★★	★★★	★★★	"I don’t know, but I would say at least twenty."
FOUND TO	3-K	3235	2104	–	★★★	★★★	It was found to be of little use in battle.
MEANT TO	3-K	3240	2098	★★★	★★★	★★★	I haven’t seen it but it’s meant to be his best so far.
HANG ON	4-K	3263	2074	★★★	★★★	–	If you can hang on for just a second.
TURN INTO	4-K	3265	2072	★★★	★★★	★★	The idea turned into something amazing.
SOMETHING ABOUT	4-K	3268	2071	★★★	★★★	–	There’s something about her I find interesting.
BY NOW	4-K	3295	2044	★★★	★★★	★★	I thought they’d be here by now.
THINK SO	4-K	3308	2033	★★★	★★	★★	Do you think so?
GO AHEAD	4-K	3320	2023	★★★	★★★	★★	Why don’t you go ahead and call him again?
BRING ABOUT	4-K	3322	2022	–	★★★	★★★	It was expected that he would bring about change.
HAD BETTER	4-K	3323	2022	★★★	★★★	★★	They had better listen.
IN ACCORDANCE WITH	4-K	3327	2017	–	★★★	★★★	The plan was execute in accordance with municipal guidelines.
CALL ON	4-K	3328	2016	★★	★★★	★★	He called on his members of staff for advice.
AT TIMES	4-K	3331	2014	★★★	★★★	★★★	It can be slightly frustrating at times.
ALL THE WAY	4-K	3340	2007	★★★	★★★	★★★	I’m with you all the way.
IN EFFECT	4-K	3349	1995	★★★	★★★	★★★	In effect it was like being in space.
AFFORD TO	4-K	3355	1989	★★★	★★★	★★	It’s something you can’t afford to miss.
SIGHT OF	4-K	3357	1988	★★★	★★★	★★★	"I can’t stand the sight of it, to tell you the truth."
IN ADVANCE	4-K	3362	1983	★★★	★★★	★★★	It’s something you should do in advance.
ON THE PART OF	4-K	3379	1965	★★	★★★	★★★	There are no barriers on the part of the government.
BRING UP	4-K	3387	1958	★★★	★★★	★★★	Did you manage to bring up the holiday pay?
TAKE OFF	4-K	3388	1957	★★★	★★★	★★	I was hungry by the time we took off.
SO AS TO	4-K	3390	1954	★★★	★★★	★★★	He cluttered his desk so as to appear busy.
TAKE ADVANTAGE	4-K	3396	1949	★★★	★★★	★★★	Some people just want to take advantage.
SHORT OF	4-K	3399	1944	★★	★★★	★★★	"Short of calling the doctor, I don’t know what to do."
OVER THE YEARS	4-K	3402	1942	★★★	★★★	★★★	She has over the years visited many cities.
SWITCH ON	4-K	3406	1935	★★★	★★★	★★	It’s plugged in but it won’t switch on.
BY NO MEANS	4-K	3417	1925	★★★	★★★	★★★	We have by no means concluded the matter.
COULD HARDLY	4-K	3431	1911	★★★	★★★	★★	I could hardly wait for the weekend.
COME UP WITH	4-K	3446	1898	★★★	★★★	★★	Is that the best you could come up with?
IN QUESTION	4-K	3448	1898	–	★★	★★★	The book in question was published last year.
IN THE FIRST PLACE	4-K	3450	1897	★★★	★★★	★★★	He couldn’t see how it got there in the first place.
PROVE TO BE	4-K	3456	1893	★★	★★★	★★★	The bicycle proved to be of immense value.
IN COMMON	4-K	3457	1890	★★★	★★★	★★★	What they have in common is their stamina.
NO MATTER	4-K	3461	1888	★★★	★★★	★★	"No matter what they say, it’s down to you now."
AT THIS POINT	4-K	3465	1884	★★★	★★★	★★★	At this point there’s no telling who might win.
IN ITSELF	4-K	3491	1855	★★★	★★★	★★★	The car in itself wasn’t enough incentive. 
THE FORMER	4-K	3502	1842	–	★★★	★★★	The former can actually require much more money.
IF ONLY	4-K	3511	1830	★★★	★★★	★★	If only I’d known sooner.
YET TO	4-K	3525	1818	★★★	★★★	★★★	The package is yet to arrive.
UP TO ME	4-K	3534	1807	★★★	★★★	★★★	I’ll leave it up to you if that’s all right.
UP TO US	4-K	3534	1807	★★★	★★★	★★★	I’ll leave it up to you if that’s all right.
UP TO YOU	4-K	3534	1807	★★★	★★★	★★★	I’ll leave it up to you if that’s all right.
UP TO HIM	4-K	3534	1807	★★★	★★★	★★★	I’ll leave it up to you if that’s all right.
UP TO HER	4-K	3534	1807	★★★	★★★	★★★	I’ll leave it up to you if that’s all right.
UP TO THEM	4-K	3534	1807	★★★	★★★	★★★	I’ll leave it up to you if that’s all right.
OR WHATEVER	4-K	3536	1806	★★★	–	–	The challenge or whatever is doing it under budget.
HAND OVER	4-K	3548	1798	★★★	★★★	★★	The responsibility was expected to be handed over.
IN THE LIGHT OF	4-K	3554	1789	★★	★★★	★★★	"In the light of the results, we delayed the study."
IN THE SAME WAY	4-K	3560	1784	★★★	★★★	★★★	"In the same way, Apple appeals to the young."
THAT MUCH	4-K	3567	1781	★★★	★★	–	I don’t go out that much.
THE EXTENT TO WHICH	4-K	3601	1751	–	★★	★★★	The extent to which the preceding can be asserted is largely dependent on what emerges in the study.
FOR SOME TIME	4-K	3632	1725	★★★	★★★	★★★	He’s actually been studying for some time now.
IN RETURN FOR	4-K	3640	1720	★★★	★★★	★★★	In return I’d like to present you with this gift.
IN RETURN	4-K	3640	1720	★★★	★★★	★★★	In return I’d like to present you with this gift.
TO DEATH	4-K	3650	1714	★★★	★★★	–	The children were bored to death.
ON THE GROUNDS	4-K	3652	1713	★★★	★★★	★★★	The decision was made on the grounds of safety.
OH DEAR	4-K	3670	1700	★★★	–	–	He didn’t? Oh dear.
IN FULL	4-K	3672	1698	–	★★★	★★★	She paid in full.
ON BOARD	4-K	3673	1698	★★★	★★★	★★	Are you on board with the decision?
TO SOME EXTENT	4-K	3686	1688	★★★	★★★	★★★	It is to some extent what is considered standard.
SOME KIND OF	4-K	3695	1678	★★★	★★★	–	"What are you, some kind of genius?"
KEEP UP	4-K	3700	1674	★★★	★★★	★★	Keep up if you can.
NO IDEA	4-K	3709	1670	★★★	★★	–	You have no idea.
GREATER THAN	4-K	3712	1666	★★	★★★	★★★	Anything greater than five is fine.
HAPPEN TO BE	4-K	3715	1664	★★★	★★★	–	This happens to be my first conference.
HAPPEN TO	4-K	3715	1664	★★★	★★★	–	This happens to be my first conference.
HELD THAT	4-K	3718	1661	–	★★★	★★★	The congress held that it was acceptable.
FACED WITH	4-K	3722	1658	★★	★★★	★★	"Faced with defeat, he changed tactics."
DOING SO	4-K	3733	1647	★★	★★★	★★★	"Unfortunately, doing so also meant facing traffic."
SET OFF	4-K	3738	1644	★★★	★★★	–	We set off at noon.
PUT FORWARD	4-K	3740	1640	★★	★★★	★★★	The group put forward several other proposals.
FROM TIME TO TIME	4-K	3760	1627	★★★	★★★	★★	He does come round from time to time.
THE MEANS	4-K	3791	1626	★★	★★★	★★★	He hasn’t the means to get there.
EVER SINCE	4-K	3762	1622	★★★	★★★	★★	And they haven’t been the same ever since.
JUST ABOUT	4-K	3763	1622	★★★	★★	–	Am I finished? Just about.
